#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
15,"Step 3.2 (documented): Check SBC/Direct‑Routing provisioning and translation rules for recently applied changes or missing number‑ranges; prior Direct‑Routing incidents reproduced the failure, applied a temporary translation rule (which immediately fixed calls), then applied the permanent correction","8, 76",,,,,,,,Sources(76) -> community_report
16,"Evidence to collect: SBC logs, carrier traces, and translation table entries; run test calls while capturing SIP traces to reproduce failure",76,,,,,,,,Sources(76) -> community_report
17,"Step 3.3 (RECOMMENDED): If presence is impacted but federation policies look unchanged, request Microsoft/tenant‑side sign‑in logs for affected external partner UPNs to confirm whether presence/availability tokens are being delivered — records show sign‑in/token logs were used in label/presence investigations",31,,,,,,,,
18,Step 4.1 (documented): Check the SMTP relay logs for explicit rejection reason lines (previous tickets captured “MESSAGE SIZE EXCEEDS FIXED LIMIT” as the decisive evidence) and collect device MFP logs showing the SMTP dialogue timestamps,"36, 11",,,,,,,,
19,"Step 4.2 (documented): If relay rejects due to size, implement the prior documented remediation: adjust the relay max‑message size or adjust MFP scan settings (reduce DPI/enable PDF compression) so the MFP messages fit within relay limits. Prior incidents fixed large‑scan failures by adjusting relay policy or scan profile",36,,,,,,,,
20,Step 5.1 (documented): Check the print server spooler and queue state; prior cases recorded “Paused” queues and solved by restarting the print spooler and re‑publishing the network share (disable/re‑enable publish) to clear stuck SAP jobs,"29, 27",,,,,,,,
21,Step 5.2 (documented): Check whether a recent network/VLAN change or firewall rule separated the printer VLAN from the print server (previous Basel incidents showed a new Voice/Device VLAN or NAT/session timeout caused device reachability and printing failures),"22, 16",,,,,,,,
22,"Step 5.3 (documented remediation options used in prior cases): Restart spooler, re‑publish share (disable then enable), and if the print server was recently restored from VM snapshot, collect hypervisor restore logs and examine for post‑restore BSODs (prior SAP printing incident used a VM restore and observed BSODs, requiring infrastructure on‑call follow‑up)",29,,,,,,,,
23,"Step 6.1 (documented practice): Collect the exact change artifacts and timestamps used in prior incident RCAs: WAF/template change events and audit, firewall rule change logs, Azure AD Connect / provisioning script change records, SMTP relay rule change events, and hypervisor/VM restore job entries. The indexed incidents used those artifacts to link a weekend maintenance window to observed failures","15, 23, 29, 36, 11",,,,,,,,
24,"Step 6.2 (RECOMMENDED): If you do not have a consolidated change export, query your Change Management system and device audit logs for the weekend window(s) that match the first symptom timestamps and attach those CRs to this incident (the records recommend doing this when weekend/out‑of‑hours changes correlate with outages)","15, 23",,,,,,,,
25,"Step 7.1 (documented practice): Preserve logs and configuration snapshots used for remediation (the indexed tickets show attachments, blueprint retrieval and log preservation were used as evidence); attach them to the incident ticket for later postmortem","35, 15",,,,,,,,
26,The knowledge base contains multiple prior incidents that map to each symptom and documents the successful remediation actions above (selective SMTP AUTH/Conditional Access fixes for Outbox; Teams federation/SBC fixes for presence/calls; SMTP relay size adjustments or MFP profile tweaks for large scans; spooler/share and network/VLAN fixes for vanished print jobs). Those prior tickets are the authoritative precedent for each action,"32, 26, 36, 29",,,,,,,,
27,"However, the records do not contain a single, consolidated weekend change log or a single change‑ID that lists *all* changes across perimeter WAF, firewall, AD Connect, mail relay and print‑server restore that were applied in your environment in one maintenance window. The indexed corpus shows multiple discrete changes across devices/sites but no single CMDB export that I can quote to confirm causation","15, 23, 29, 34, 11",,,,,,,,
28,Azure AD Conditional Access / Security Defaults change record and timestamp; Exchange/Smtp server logs showing 535/“authentication unsuccessful”; message trace showing desktop client submission attempts,32,,,,,,,,
29,Teams Admin Center: federation/presence policy change audit; SBC logs and SIP traces for failed calls; tenant federation changes and any provisioning script change records,"26, 8",,,,,,,,
30,"SMTP relay rejection logs (look for “MESSAGE SIZE EXCEEDS FIXED LIMIT”), MFP device scan logs showing SMTP dialogue and message size, and mail relay config change history","36, 11",,,,,,,,
31,Printserver System/Application/PrintService event logs showing spooler state and share publish events; network/VLAN change tickets + switch port mappings; hypervisor restore logs if a VM restore was performed,"29, 22",,,,,,,,
32,For each item above the indexed records show those artifacts were used to diagnose and resolve the matching prior incidents,"32, 26, 36, 29",,,,,,,,
33,"Recommendation (documented pattern): classify this as second_level_support and escalate now to Identity (Entra/AD), Mail/Exchange, Network & Security (firewall/WAF/SBC), and Infrastructure/Print owners. The indexed knowledge shows identical multi‑domain incidents were handled by those specialist teams, not by front‑line only","15, 32, 26, 29, 36",,,,,,,,
34,- To Identity/Entra team (for SMTP/Outbox + Teams presence): “Please export Conditional Access / Security Defaults changes and Azure AD sign‑in logs for affected users (time window: <first‑symptom‑time ± 4h>). Also export group‑membership snapshots and Azure AD Connect sync run history for that window. Ticket refs: <this_ticket>. Prior incidents show these artifacts are decisive.,"32, 13",,,,,,,,
35,- To Mail/Relay/MFP owner (for large scans): “Please provide SMTP relay logs and MFP SMTP dialog logs for the time of the failed 20–30 page scans and the relay config (max‑message‑size) history. Look for ‘MESSAGE SIZE EXCEEDS’ entries. Prior tickets used the same log lines to confirm cause.,36,,,,,,,,
36,- To Network/WAF/SBC owner: “Provide perimeter WAF/template change audit and load‑balancer access logs for the portal FQDN (time window: <anchor>). Also provide firewall rule change history for Zurich and VLAN/routing changes for Basel. Prior incidents show template reloads and firewall rule changes caused similar multi‑service faults.,"15, 23, 22",,,,,,,,
37,"I cannot, from the indexed knowledge alone, prove a single causal change that produced all four symptoms — the knowledge base shows the same classes of changes (tenant policy, provisioning scripts, firewall/WAF template reloads, relay limits, VM restores) have produced identical symptoms in separate incidents, but it does not contain a single consolidated change log tying them together for your environment. You must collect and correlate the device‑level change/audit logs and the Change Management records named above to confirm causation","15, 23, 29, 36, 11",,,,,,,,
38,Desktop mail / SMTP AUTH root cause and remediation example,32,,,,,,,,
39,Teams federation / presence and Direct‑Routing SBC examples,"26, 8",,,,,,,,
40,Scan‑to‑Mail / SMTP relay size rejection and remediation,"36, 11",,,,,,,,
41,"SAP/printserver VM restore, spooler/share remediation, BSOD observation",29,,,,,,,,
42,Portal/WAF template reload (Default‑Strict → Portal‑App‑Template / X‑Forwarded‑Proto) and blueprint use,"15, 17",,,,,,,,
