#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
11,(Recommended — the prior tickets show sign‑in logs were used; you must export them from your tenant now.),"30, 13",,,,,,,,
12,Why / Evidence: TI‑1385257 documents that non‑browser integration failures were caused by ADFS client‑registration flags (EnableJWT / RequestMFAFromClaimsProviders) and that interactive browser sessions still worked while background flows failed; TI‑1548823 shows SMTP/legacy flows produced 535 rejections when CA/auth policy changed [Documented: TI‑1385257; TI‑1548823],"11, 32",,,,,,,,
13,Why / Evidence: the TRAIN CE / Toolbox incident shows a newly‑registered ADFS client with EnableJWT/RequestMFAFromClaimsProviders set broke non‑browser flows and required adjusting the ADFS client settings to restore background authentication [Documented: TI‑1385257],11,,,,,,,,
14,"If you find a misconfiguration consistent with TI‑1385257, correct the client registration settings with the identity team (Documented precedent)",11,,,,,,,,
15,Why / Evidence: TI‑858473 documents the exact operational trade‑off: blocking non‑MFA sign‑ins via geolocation was proposed and exceptions were recorded; prior tickets show that targeted exceptions (rather than wholesale rollback) were the practical way to restore crucial jobs while maintaining containment [Documented: TI‑858473],4,,,,,,,,
16,Why / Evidence: Prior SharePoint/label incidents show token caching and CA timing produced transient access differences; remediation included token invalidation and forcing re‑authentication to pick up corrected claims after group/label fixes [Documented: TI‑1578891; TI‑1571046],"30, 38",,,,,,,,
17,"Why / Evidence: TI‑1583327 documents this exact root cause and remediation sequence — investigators used Graph to prove the collision, consolidated groups and ran a full Azure AD Connect sync which restored external guest access [Documented: TI‑1583327]",13,,,,,,,,
18,Why / Evidence: TI‑1548823 documents SMTP/legacy Outlook clients being blocked while OWA continued to work; the resolution path used scoped exceptions or protocol modernization [Documented: TI‑1548823],32,,,,,,,,
19,Why / Evidence: TI‑1609823 documents exactly this pattern: a provisioning script assigned the wrong Teams voice routing policy to an Enterprise‑Sales group; the script was corrected and policy reassignment restored dialing [Documented: TI‑1609823],9,,,,,,,,
20,"Action: If the above diagnostics show credential exfiltration indicators, widespread CA hits, or collisions/sync problems, escalate to BU Infrastructure – Identity / Security IR and prepare an evidence package: preserved PDFs, firewall change audit, Azure AD sign‑in logs (with CA details), ADFS logs (if used), and Microsoft Graph group membership exports. The indexed escalation pattern is: CRM/web intake → BU Customer Services Run triage → escalate to Core Engineering / System Engineers / Identity [Documented run/escalation pattern in records]","3, 34, 125, 128",,,,,,,,Sources(125) -> community_report; Sources(128) -> community_report
21,"Why / Evidence: Past incidents of this nature were escalated beyond first‑line and required system engineers and identity specialists to run Graph queries, full syncs, and ADFS/client fixes [Documented: TI‑1583327; TI‑1385257]","13, 11",,,,,,,,
22,"Export: Firewall/WAF change audit (exact rule, author, timestamp, and exception list). [TI‑858473 shows rule + exceptions were recorded]",4,,,,,,,,
23,"Recommendation (evidence‑backed): Classify this as second_level_support. Rationale: the incident spans suspected credential compromise, Conditional Access / geolocation enforcement that impacts both human and non‑interactive flows, broken background integrations that match documented ADFS/token issues, and potential identity‑sync or provisioning collisions; prior incidents with the same multi‑vector symptoms were escalated to identity/system engineers (BU Infrastructure – Identity / Core Engineering) and required actions such as ADFS client changes, full Azure AD Connect syncs, provisioning script fixes and cross‑team coordination [Documented precedents: TI‑858473 (phishing), TI‑1385257 (ADFS non‑browser failure), TI‑1583327 (group/object collision + full sync), TI‑1609823 (provisioning script) ]","4, 11, 13, 9",,,,,,,,
24,"The indexed artifacts DO NOT contain your tenant’s live Azure AD sign‑in rows, firewall change audit lines, ADFS client config, or your provisioning script commit/CI logs. I cannot fetch these from the indexed records — you must export them from your tenant/systems (the records show these were the decisive artifacts investigators used in prior incidents)","13, 30, 11, 4",,,,,,,,
25,. Explicitly: I cannot confirm whether the geolocation rule was actually applied to your environment — the ticket record showed such a rule was proposed in TI‑858473 but the archive contains no execution timestamp for your environment,4,,,,,,,,
26,"Triage team (run in parallel, as priority): preserve artifacts; export Azure AD sign‑in/CA logs; export firewall change audit; list failing job accounts & their auth type; collect ADFS/client registration if used; collect Microsoft Graph group exports for groups referenced by impacted resources. (Recommended; these are the exact artifacts prior investigators requested and used)","4, 13, 11, 30",,,,,,,,
27,"Based on the indexed incidents, treat this as a security + identity incident that must be escalated to 2nd‑level/identity and SecOps. Preserve the phishing artifacts, confirm whether the geolocation rule was applied (and extract its audit), export Azure AD sign‑in and Conditional Access logs and Microsoft Graph group membership snapshots, and investigate failing automated accounts for non‑interactive token/client issues (ADFS client flags or legacy/protocol differences). If you find a cloud vs on‑prem group/object collision, apply the documented consolidation + full Azure AD Connect sync remediation used in the prior case. These actions and their precedents are documented in the cited tickets","4, 11, 13, 9, 30, 32",,,,,,,,
