#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
11,Confirm whether any recent OS/patch/CLR/IISCRYPTO changes or TLS/cipher changes were applied to AOS/IIS in the 24–48 hours prior (Evidence: past incident required TLS/IIS changes),0,,,,,,,,
12,Check whether “author = unknown” corresponds to any directory/group/object changes (Evidence + Recommended): export Azure AD audit log entries for group/object changes and SharePoint/D365 author mappings in the same window — previous incidents tied objectID/group changes to authorship/visibility anomalies,"13, 30",,,,,,,,
13,"If AOS/IIS or FRDB errors point to service instability, escalate immediately to Application/Core Engineering and consider vendor/Microsoft escalation per precedent. (Evidence — prior incidents used vendor escalation)",0,,,,,,,,
14,Missing SBC translation entries for new ranges produced INVITE → 404 at the SBC; temporary translation rules validated the fix and permanent translation/routing table updates were applied. SBC + carrier traces were decisive evidence,8,,,,,,,,
15,SBC SIP trace for those timestamps (full INVITE/response sequences) and the SBC translation table snapshot (pre/post) and any temporary translation-rule text applied during prior tests. (Recommended — this parallels TI‑1612036 approach),8,,,,,,,,
16,Have UC/SBC engineer check SBC translation/normalization entries for those number ranges and apply a temporary translation rule to reproduce and validate routing — prior incident applied a temporary rule and then a permanent update,8,,,,,,,,
17,Correlate with Teams Admin Center/voice provisioning telemetry to confirm whether the tenant assigned any voice policy provisioning changes to the affected users (Evidence: provisioning-script misassignment caused other voice outages),9,,,,,,,,
18,SBC logs showed SBC-originated BYE at ~29–31s; diagnosis traced this to NAT/UDP session timeouts on Voice VLAN or session‑timer mismatch. Fix used NAT timeout alignment and SBC/session‑timer changes (Basel case) or firewall port adjustments (Zurich case),"16, 23",,,,,,,,
19,Representative failed call Call‑ID(s) and full SBC SIP trace (INVITE → 200 OK → ACK → BYE) with exact timestamps. (Recommended — prior incidents used these),16,,,,,,,,
20,"Firewall/NAT logs for the client side and Voice VLAN, showing NAT session creation/expiry and UDP session timeout values for the same timestamps. (Recommended)",16,,,,,,,,
21,"Correlate the SBC BYE timestamp with any NAT session expiry or firewall deny at that same time. If NAT session timeout is ~30s, align to Direct Routing blueprint (increase to match SBC session timers; prior fixes changed NAT timers or SBC timers to remove 30s drops)","16, 23",,,,,,,,
22,"If Media Bypass is enabled at the site, verify outbound firewall dynamic RTP range allowed; Zurich examples show restricting dynamic RTP to only 3478–3481 caused audio issues until corrected",23,,,,,,,,
23,"Prior Teams client notification issues resolved by verifying Windows Focus Assist / Do Not Disturb, Teams notification settings, Teams Test Call, and Teams client updates. A recorded case found Focus Assist or app permission settings to be the cause and resolved locally","42, 19, 37",,,,,,,,
24,On affected laptops: confirm Windows Focus Assist / Do Not Disturb is off and that Teams has Notifications permission; capture a Teams client log and run a Teams Test Call / Notification test and record timestamp. (Recommended — prior tickets used these checks),"37, 19, 42",,,,,,,,
25,"The indexed corpus shows that when multiple independent subsystems (identity/group mappings, provisioning scripts, Direct Routing/SBC, print servers) fail after an org‑chart/group change, the pattern commonly indicates a provisioning/directory sync ripple that affects many downstream services and justifies second‑level escalation and cross‑team remediation","13, 9, 16",,,,,,,,
26,"Therefore: because you have cross‑service impact (D365 + telephony + site‑specific UC + Teams clients), the pattern aligns with prior cross‑system incidents that were escalated to second_level_support and required coordinated engineering work","13, 3",,,,,,,,
27,Application / D365 owner + Core Engineering (AOS/IIS/FRDB) — per Management Reports precedent,0,,,,,,,,
28,BU Infrastructure – Identity (Azure AD / Azure AD Connect / provisioning) — to review group/object collisions and provisioning script effects,"13, 9",,,,,,,,
29,Unified Communications / SBC owner — request SBC SIP traces and translation table review,8,,,,,,,,
30,Network / Firewall team — request NAT/session timeout values and firewall change history; check Voice VLAN NAT policies and RTP port rules,"16, 23",,,,,,,,
31,Endpoint/Desktop support — run Teams client/Focus Assist checks and capture client logs for Teams pop‑up issue,"42, 19",,,,,,,,
32,"D365: AOS IIS logs (primary window), FRDB/DataMart error logs, screenshots of the error, and the list of affected users and exact timestamps",0,,,,,,,,
33,"Telephony (hotline): sample called number(s), UTC timestamps, carrier trace IDs, and SBC SIP trace(s) for the same times, plus SBC translation table export and Teams Admin Center policy assignment snapshots","8, 9",,,,,,,,
34,"Basel UC: SBC SIP traces showing BYE at ~29–31s, firewall/NAT logs for the Voice VLAN showing UDP/NAT session timeouts, and the site change ticket that moved the network segment (if any)","16, 23",,,,,,,,
35,Teams endpoint: Teams client logs and Windows Event logs for Focus Assist/Notifications around the sample test time; list of affected hostnames and exact update timestamps,"42, 19",,,,,,,,
36,Classify this ticket as second_level_support (escalate to engineering/identity/UC/network). Rationale: prior indexed incidents with the same multi‑domain scope were escalated and required hands‑on engineering (Azure AD Connect / provisioning fixes; SBC/firewall parameter changes; AOS/IIS/Data Mart actions) rather than first‑line fixes,"13, 9, 0, 16",,,,,,,,
37,"The indexed records document the workflows, past root causes and the artifacts investigators used, but they do NOT contain your tenant’s live logs (AOS/IIS/FRDB error logs, SBC SIP traces, firewall/NAT logs, Azure AD sign‑in logs, or actual provisioning CI job runs). To resolve this incident now we must collect and attach the live artifacts listed above. The prior incidents show those exact artifacts were decisive","0, 8, 16, 13",,,,,,,,
38,"""Escalate to second_level_support: Application (AOS/IIS/FRDB), Identity (Azure AD / Azure AD Connect / Provisioning), Unified Communications (SBC/Direct Routing), and Network/Firewall required. Critical artifacts requested: (1) AOS/IIS+FRDB logs for 48h window around failure; (2) sample failed hotline numbers + carrier traceIDs + SBC SIP traces and SBC translation table; (3) SBC SIP traces + firewall NAT/session logs for Basel sample calls showing BYE ~29–31s; (4) Teams client logs + Windows Event logs and Focus Assist state for affected hosts. Please attach these artifacts and confirm ownership for each scope so we can start cross‑correlation. Classification: second_level_support. [References: similar prior resolutions: Financial Reports/AOS remediation (TI‑722511)",0,,,,,,,,
39,; SBC translation-rule remediation (TI‑1612036),8,,,,,,,,
40,; Basel NAT/session timeout BYE ~29–31s (TI‑1604879),"16, 23",,,,,,,,
41,; SharePoint/group/Entra remediation (TI‑1583327),13,,,,,,,,
