id,human_readable_id,title,type,description,text_unit_ids,frequency,degree,x,y
821e4c8b-aa53-49c2-944f-56e19943006b,10,AVANADE,ORGANIZATION,"AVANADE is an external third-party vendor/partner engaged in the investigation and troubleshooting effort. AVANADE participated in a troubleshooting call alongside internal support staff and customer representatives, collaborating with both parties during the investigation.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']",2,2,0.0,0.0
e0b1dd65-8ad5-4e0a-ab04-fee62c79dc88,11,REGINA JAGSCH,PERSON,"Customer contact from Austria who reported that none of the EMEA finance employees could open a report and observed that creators of old reports appeared as ""unknown"" — provided symptom detail indicating a global impact.",['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,1,0.0,0.0
ab8ef797-0f70-44b6-b55b-7e846d0a4478,12,ARTUR,PERSON,"ARTUR participated as a stakeholder in a troubleshooting call alongside Employee 14, Ms. X, and Avanade representatives. He was actively involved in the joint investigation and investigative communications to identify and reproduce an error that manifested across multiple environments and machines.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']",2,2,0.0,0.0
4348f768-0179-4331-884a-b69cfa4cc402,13,MS. X,PERSON,MS. X is the named customer/tester (anonymized in the source material) referenced in portal notes as a stakeholder and primary test contact responsible for validating fixes and performing acceptance testing. She was unavailable for testing and absent until 16.04.2024 (16 April 2024) and is expected to participate in validation and testing after her return.,"['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']",2,2,0.0,0.0
4c64d73a-9791-4d3d-9fd0-babfdf376ef9,14,DYNAMICS 365 F&O,APPLICATION/SERVICE,The application platform (Finance & Operations / F&O) where users navigate to General Ledger → Financial Reports → Edit and encounter the intermittent error; the Management Report functionality is part of this service.,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,2,0.0,0.0
92d215be-e8cf-4096-85ec-7e61911820f8,15,MANAGEMENT REPORT / FINANCIAL REPORTS,APPLICATION/SERVICE,The specific F&O feature (Management/Financial Reports editing) that fails intermittently for users across environments; screenshots attached to portal notes show the error in this component.,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,4,0.0,0.0
e964a847-b268-4b82-996f-a7a15b9eae1b,16,DATA MART,APPLICATION/SERVICE,"DATA MART: The Data Mart is the reporting data store/aggregation layer (the reporting backend) used by reporting components. When reporting functionality or consistency problems occurred, a ""Data Mart Reset"" was identified as the next remediation step—planned and/or executed—to attempt to resolve the issue if initial remediation actions did not improve the situation and to restore report functionality and consistency.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']",2,3,0.0,0.0
2b59015d-6592-4d0c-a57f-3fd195b7d1ae,17,JIRA ICO261-183,SUPPORT TICKET,"Internal/related JIRA ticket (https://jira.KF11ohm.com/browse/ICO261-183) opened by another internal team (Mexico) reporting the same error, indicating the problem is global and not isolated to one region.",['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,2,0.0,0.0
76e08f09-1c77-4e97-9ed9-7e12aaa56d07,18,IISCRYPTO,CONFIGURATION MANAGEMENT (GROUP POLICY),Tool/utility used to harden/modify TLS cipher suite configuration on Windows/IIS servers. Closure notes state best-practice cipher suites were activated using IISCRYPTO as part of the remediation.,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,3,0.0,0.0
e958c406-bd3b-4efd-810a-5b13f859f2c8,19,AOS SERVERS,"SERVER INFRASTRUCTURE (APPLICATION SERVERS, DOMAIN CONTROLLERS, VIRTUAL MACHINES)","AOS SERVERS (Application Object Server / F&O application servers) are the Application Object Server instances that broker authentication, communication and request traffic between clients (Report Designer and browser) and backend services such as the Financial Reporting Service and the Data Mart. They are essential to overall service availability and performance and must be restarted to apply TLS/Cipher Suite adjustments or similar configuration changes. During the referenced incident remediation, the AOS SERVERS were restarted and that restart was documented as part of the closure activity that resolved the incident.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '0157d2d4ab01e982312b150b3a1463757a10dab4400fdbf531a79a1e28a2bd077d625991339124303be912c30f4a30260b757fd9a2160800d47da29f2ae63cb6']",2,10,0.0,0.0
2a101f44-edd7-4691-ad09-26c7993e35e1,20,BEST-PRACTICE CIPHER SUITES,CONFIGURATION MANAGEMENT (GROUP POLICY),"Security configuration change applied to servers: activation of recommended/“best-practice” TLS cipher suites (performed with IISCRYPTO) as part of the remediation that, together with server restarts, resolved the issue.",['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,3,0.0,0.0
2b66bc35-b7e2-4254-851f-b26238beac6d,21,ADFS,"IDENTITY PROVIDER / AUTHENTICATION SERVICE (ADFS, ENTRA ID)","ADFS (Active Directory Federation Services) is the identity/federation provider for the Train integration. During the incident triage ADFS was initially considered then effectively excluded because only PROD was modified over the weekend and the error reproduced in all environments; however further investigation identified a misconfigured new ADFS client as the root cause. The client registration parameters EnableJWT and RequestMFAFromClaimsProviders were set incorrectly, causing unexpected JWT issuance and forwarding of MFA claims and producing authentication failures; those parameters were adjusted to match the TEST environment, which resolved the failures. Recorded remediation actions included federation data updates in ADFS, removal of old certificates, and verification/checking of ADFS configuration.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'
 'cf5c0a229b95de7ce8b153614a0c965081d0e96927a793df26435d50208f9b497ab20df7f9c97bbf5662dad69b49b0ca5950f40a53287572e9e79e31c759f3ba'
 '3d1aaea6391e7df51a2a42a8c7c0a47f02763542818404f1986e9d1de8a7b6042de29a49f32a5a6aa4bf49bb1944b93f48f52a850e46d1180e9770c9065e161c']",4,15,0.0,0.0
815efd8c-3fcd-4413-b0da-4384c1dc1c71,22,NETWORK INFRASTRUCTURE,"NETWORK INFRASTRUCTURE (FIREWALLS, VLANS, NAT, LOAD BALANCERS)","NETWORK INFRASTRUCTURE: During troubleshooting the network layer was explicitly examined; investigators performed network checks and reported, ""No irregularities were found in the network."" As a result, the network infrastructure was inspected and excluded as the root cause of the incident.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09']",2,3,0.0,0.0
4eb11f73-26e9-4caa-9a89-95942cd33bf7,23,MICROSOFT,ORGANIZATION,"MICROSOFT — Microsoft Corporation is identified as the cloud and application vendor providing Teams, Microsoft 365 services and Microsoft CRM Portals for the environment. Diagnostics reference Microsoft explicitly (for example “Microsoft IP” seen in RTP media streams and checks against Microsoft 365 service status), indicating legitimate service traffic and reliance on Microsoft service health for troubleshooting. At the same time Microsoft’s branding has been spoofed by phishing/fake login pages, so Microsoft appears both as the legitimate provider and as the brand being impersonated. The customer has requested that any access restrictions preserve genuine Microsoft sign‑ins (do not block Microsoft service sign‑in flows). If local remediation (for example a Data Mart Reset) fails, Microsoft is the party to whom a support escalation would be raised (i.e., “open a Microsoft ticket”) for deeper platform/component support.","['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'
 '75aa290785beb89a5d1c1eb56db550f1f14fb463c7bfd904e331e479bb384ff1ef2fb3ad655376ec4b1e4fc1be0e4a84dcbb63e5e60c7135f211ad99926b50c5'
 'e5716328b0306265205a4cce9606478f8d5ab01ac6c9672b28e474bd76c8c0e5730d1aa339097d38475f5c9d1cb8cf6e2170f558fe78e7f355237ca790d16626']",3,6,0.0,0.0
bcd8a406-05cb-4ef8-b47c-e942f8fd4c0f,24,CONSULTING COMPANY,ORGANIZATION,"Support/consulting organization (implied by NO-REPLY portal emails like employee14@consultingcompany.ch) performing triage, coordinating with customer and third parties and posting portal updates.",['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,2,0.0,0.0
6d7e3e4d-bbac-403c-ad74-a7f4c34d2758,25,MICROSOFT DYNAMICS CRM,APPLICATION/SERVICE,The Dynamics CRM platform behind the Microsoft CRM Portals used to create and manage the portal records and attachments for the ticket lifecycle; CRM Development team and ApplicationUser context interact with this CRM environment.,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,2,0.0,0.0
68348ea5-2bc8-43ef-8d78-bf0ff3fc39f5,26,IIS SERVERS,"SERVER INFRASTRUCTURE (APPLICATION SERVERS, DOMAIN CONTROLLERS, VIRTUAL MACHINES)",Internet Information Services (IIS) web servers in the application landscape where TLS/cipher suite configuration was changed using IISCRYPTO as part of the remediation; part of the web/application server tier alongside AOS servers.,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,2,0.0,0.0
d16e78dc-be1e-4573-8376-d60defedb0b3,27,PORTAL NO-REPLY EMAIL (EMPLOYEE14@CONSULTINGCOMPANY.CH / EMPLOYEE13@CONSULTINGCOMPANY.CH),EMAIL INFRASTRUCTURE / SMTP RELAY,"The portal notification/from addresses (NO-REPLY) used by the Microsoft CRM Portals to post portal notes and automated emails (examples: employee14@consultingcompany.ch, employee13@consultingcompany.ch); represents the SMTP/email channel used by the ticketing portal.",['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,3,0.0,0.0
f6f40f25-f93b-4737-97c1-e2244907b113,28,JIRA (JIRA.KF11OHM.COM),APPLICATION/SERVICE,The JIRA instance used internally (referenced via https://jira.KF11ohm.com/browse/ICO261-183) to track related/internal issues (ICO261-183) reporting the same error from another region; a collaboration/issue-tracking system integrated into the incident workflow.,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,1,0.0,0.0
f84d1f7e-2e11-49f1-a9c6-58aa73616e4c,29,GENERAL LEDGER,,,['8e212755d57159d754e802f915b945accb4105e418220c784acf82bd415965c3076cec62aaa3470bc84b63dd6fc66d1c00ce9e6aafbaabd7c14bfab0ef163bea'],1,2,0.0,0.0
fe96b391-ff37-4ffd-9dc9-487e7c3f3198,30,APPLICATIONUSER CRM DEVELOPMENT,PERSON,System or role entry representing the CRM Development application user who posted status updates asking whether the Data Mart Reset produced improvement; appears as an author of log entries.,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'],1,0,,
077cbc05-cdfb-4080-aba0-8951a3415f95,31,ADMIN CRM,PERSON,"Admin role/person in the CRM team who reassigned the ticket (noted as ""Admin, CRM"" in the timeline).",['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'],1,0,,
eee0931b-4bdd-4d07-b0c4-892533bd3e7f,32,REGINA,PERSON,"End-user contact (from Austria) reporting that EMEA finance employees were unable to open reports and that previously created report authors were displayed as ""unknown""; provided screenshots and status updates used in troubleshooting.",['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'],1,2,0.0,0.0
83f8732e-b868-40ce-81f2-d51c85bf3960,33,EMEA FINANCE,IT TEAM/DEPARTMENT,Business/user group affected by the incident (EMEA finance employees reported they could no longer open reports across the region).,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'],1,2,0.0,0.0
835ede46-66fa-4ea1-a264-2c05f49fbe14,34,REPORT DESIGNER,APPLICATION/SERVICE,"REPORT DESIGNER is the client/editor used to open, edit and run financial reports hosted by the Financial Reporting Service. It has been observed to be extremely slow for both internal and external users except when launched directly on 001-srv-aos72, where performance is acceptable. Users also encounter ""Report cannot be found"" errors and missing author metadata (authors displayed as ""unknown""). Startup performance and the ability to locate report authors/metadata are treated as key quality metrics for REPORT DESIGNER.

REPORT DESIGNER’s correct operation depends on TLS compatibility, service account authentication, and reliable connectivity to backend services—specifically AOS, the Data Mart, and SQL. The symptom pattern (fast only on 001-srv-aos72, global slowness otherwise, and missing author metadata) points to problems in one or more of those dependencies: TLS handshake or protocol mismatches between clients and services, service account authentication/permission failures that prevent author/metadata lookup, or network/DNS/firewall issues preventing clients from reaching AOS/Data Mart/SQL. The local fast-path on 001-srv-aos72 suggests that the server either has direct/back-channel access or cached metadata that remote clients lack.","['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'
 '0157d2d4ab01e982312b150b3a1463757a10dab4400fdbf531a79a1e28a2bd077d625991339124303be912c30f4a30260b757fd9a2160800d47da29f2ae63cb6']",2,14,0.0,0.0
807dbc74-e81a-407b-82d1-4bb1c883944d,35,001-SRV-AOS72,"SERVER INFRASTRUCTURE (APPLICATION SERVERS, DOMAIN CONTROLLERS, VIRTUAL MACHINES)","Application server/VM that, when accessed directly, allowed the Report Designer to function properly (indicates the service is reachable/performant on this node). Used as a diagnostic reference point where reports worked.",['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'],1,2,0.0,0.0
ad6305ad-5410-40ca-9f11-d3ee0772a15c,36,001-SRV-AOS73,"SERVER INFRASTRUCTURE (APPLICATION SERVERS, DOMAIN CONTROLLERS, VIRTUAL MACHINES)",Sibling application server/VM in the same tier that was observed to respond very sluggishly during investigations (implicated in degraded Report Designer performance).,['624685755e9c4256de941c1b9a74d6447df6d5708b09f7a8bbffb2fc2af0383bdfb662d3712578e73a1b26bd0f8d9bb048253436a4e3f6489287c59137cc4e09'],1,2,0.0,0.0
